A0A075B6H9	Immunoglobulin lambda variable 4-69
P41231	P2Y purinoceptor 2
P41235	Hepatocyte nuclear factor 4-alpha
P41236	Protein phosphatase inhibitor 2
P41238	C->U-editing enzyme APOBEC-1
P41240	Tyrosine-protein kinase CSK
P41247	Patatin-like phospholipase domain-containing protein 4
P41250	Glycine--tRNA ligase
P41252	Isoleucine--tRNA ligase, cytoplasmic
P41271	Neuroblastoma suppressor of tumorigenicity 1
P41273	Tumor necrosis factor ligand superfamily member 9
P41279	Mitogen-activated protein kinase kinase kinase 8
P41439	Folate receptor gamma
P41440	Folate transporter 1
P41567	Eukaryotic translation initiation factor 1
P41586	Pituitary adenylate cyclase-activating polypeptide type I receptor
P41587	Vasoactive intestinal polypeptide receptor 2
P41594	Metabotropic glutamate receptor 5
P41595	5-hydroxytryptamine receptor 2B
P41597	C-C chemokine receptor type 2
P41732	Tetraspanin-7
P41743	Protein kinase C iota type
P41968	Melanocortin receptor 3
P41970	ETS domain-containing protein Elk-3
P42025	Beta-centractin
P42081	T-lymphocyte activation antigen CD86
P42126	Enoyl-CoA delta isomerase 1, mitochondrial
P42127	Agouti-signaling protein
P42166	Lamina-associated polypeptide 2, isoform alpha
P42224	Signal transducer and activator of transcription 1-alpha/beta
P42226	Signal transducer and activator of transcription 6
P42229	Signal transducer and activator of transcription 5A
P42261	Glutamate receptor 1
P42262	Glutamate receptor 2
P42263	Glutamate receptor 3
P42285	Exosome RNA helicase MTR4
P42330	Aldo-keto reductase family 1 member C3
P42331	Rho GTPase-activating protein 25
P42336	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
P42338	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform
P42345	Serine/threonine-protein kinase mTOR
P42356	Phosphatidylinositol 4-kinase alpha
P42357	Histidine ammonia-lyase
P42566	Epidermal growth factor receptor substrate 15
P42568	Protein AF-9
P42574	Caspase-3
P42575	Caspase-2
P42658	Dipeptidyl aminopeptidase-like protein 6
P42677	40S ribosomal protein S27
P42679	Megakaryocyte-associated tyrosine-protein kinase
P42680	Tyrosine-protein kinase Tec
P42681	Tyrosine-protein kinase TXK
P42684	Tyrosine-protein kinase ABL2
P42685	Tyrosine-protein kinase FRK
P42694	Probable helicase with zinc finger domain
P42695	Condensin-2 complex subunit D3
P42696	RNA-binding protein 34
P42701	Interleukin-12 receptor subunit beta-1
P42702	Leukemia inhibitory factor receptor
P42704	Leucine-rich PPR motif-containing protein, mitochondrial
P42765	3-ketoacyl-CoA thiolase, mitochondrial
P42766	60S ribosomal protein L35
P42768	Wiskott-Aldrich syndrome protein
P42771	Cyclin-dependent kinase inhibitor 2A
P42772	Cyclin-dependent kinase 4 inhibitor B
P42773	Cyclin-dependent kinase 4 inhibitor C
P42785	Lysosomal Pro-X carboxypeptidase
P42830	C-X-C motif chemokine 5
P42857	Neuronal vesicle trafficking-associated protein 1
P42858	Huntingtin
P42892	Endothelin-converting enzyme 1
P42898	Methylenetetrahydrofolate reductase
P43003	Excitatory amino acid transporter 1
P43004	Excitatory amino acid transporter 2
P43005	Excitatory amino acid transporter 3
P43007	Neutral amino acid transporter A
P43026	Growth/differentiation factor 5
P43034	Platelet-activating factor acetylhydrolase IB subunit alpha
P43080	Guanylyl cyclase-activating protein 1
P43088	Prostaglandin F2-alpha receptor
P43115	Prostaglandin E2 receptor EP3 subtype
P43116	Prostaglandin E2 receptor EP2 subtype
P43119	Prostacyclin receptor
P43121	Cell surface glycoprotein MUC18
P43146	Netrin receptor DCC
P43155	Carnitine O-acetyltransferase
P43166	Carbonic anhydrase 7
P43220	Glucagon-like peptide 1 receptor
P43234	Cathepsin O
P43235	Cathepsin K
P43243	Matrin-3
P43246	DNA mismatch repair protein Msh2
P43250	G protein-coupled receptor kinase 6
P43251	Biotinidase
P43268	ETS translocation variant 4
P43304	Glycerol-3-phosphate dehydrogenase, mitochondrial
P43307	Translocon-associated protein subunit alpha
P43308	Translocon-associated protein subunit beta
P43320	Beta-crystallin B2
P43351	DNA repair protein RAD52 homolog
P43353	Aldehyde dehydrogenase family 3 member B1
P43354	Nuclear receptor subfamily 4 group A member 2
P43355	Melanoma-associated antigen 1
P43356	Melanoma-associated antigen 2
P43357	Melanoma-associated antigen 3
P43358	Melanoma-associated antigen 4
P43359	Melanoma-associated antigen 5
P43360	Melanoma-associated antigen 6
P43361	Melanoma-associated antigen 8
P43362	Melanoma-associated antigen 9
P43363	Melanoma-associated antigen 10
P43364	Melanoma-associated antigen 11
P43365	Melanoma-associated antigen 12
P43366	Melanoma-associated antigen B1
P43378	Tyrosine-protein phosphatase non-receptor type 9
P43403	Tyrosine-protein kinase ZAP-70
P43405	Tyrosine-protein kinase SYK
P43487	Ran-specific GTPase-activating protein
P43489	Tumor necrosis factor receptor superfamily member 4
P43490	Nicotinamide phosphoribosyltransferase
P43626	Killer cell immunoglobulin-like receptor 2DL1
P43627	Killer cell immunoglobulin-like receptor 2DL2
P43628	Killer cell immunoglobulin-like receptor 2DL3
P43629	Killer cell immunoglobulin-like receptor 3DL1
P43630	Killer cell immunoglobulin-like receptor 3DL2
P43631	Killer cell immunoglobulin-like receptor 2DS2
P43632	Killer cell immunoglobulin-like receptor 2DS4
P43652	Afamin
P43657	Lysophosphatidic acid receptor 6
P43681	Neuronal acetylcholine receptor subunit alpha-4
P43686	26S proteasome regulatory subunit 6B
P43694	Transcription factor GATA-4
P43699	Homeobox protein Nkx-2.1
P43897	Elongation factor Ts, mitochondrial
P45378	Troponin T, fast skeletal muscle
P45379	Troponin T, cardiac muscle
P45381	Aspartoacylase
P45452	Collagenase 3
P45844	ATP-binding cassette sub-family G member 1
P45877	Peptidyl-prolyl cis-trans isomerase C
P45880	Voltage-dependent anion-selective channel protein 2
P45954	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial
P45973	Chromobox protein homolog 5
P45974	Ubiquitin carboxyl-terminal hydrolase 5
P45983	Mitogen-activated protein kinase 8
P45984	Mitogen-activated protein kinase 9
P45985	Dual specificity mitogen-activated protein kinase kinase 4
P46013	Proliferation marker protein Ki-67
P46019	Phosphorylase b kinase regulatory subunit alpha, liver isoform
P46020	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform
P46059	Solute carrier family 15 member 1
P46060	Ran GTPase-activating protein 1
P46063	ATP-dependent DNA helicase Q1
P46087	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase
P46089	G-protein coupled receptor 3
P46091	G-protein coupled receptor 1
P46092	C-C chemokine receptor type 10
P46093	G-protein coupled receptor 4
P46094	Chemokine XC receptor 1
P46095	G-protein coupled receptor 6
P46098	5-hydroxytryptamine receptor 3A
P46100	Transcriptional regulator ATRX
P46108	Adapter molecule crk
P46109	Crk-like protein
P46199	Translation initiation factor IF-2, mitochondrial
P46379	Large proline-rich protein BAG6
P46439	Glutathione S-transferase Mu 5
P46459	Vesicle-fusing ATPase
P46527	Cyclin-dependent kinase inhibitor 1B
P46531	Neurogenic locus notch homolog protein 1
P46597	Acetylserotonin O-methyltransferase
P46663	B1 bradykinin receptor
P46695	Radiation-inducible immediate-early gene IEX-1
P46721	Solute carrier organic anion transporter family member 1A2
P46734	Dual specificity mitogen-activated protein kinase kinase 3
P46736	Lys-63-specific deubiquitinase BRCC36
P46776	60S ribosomal protein L27a
P46777	60S ribosomal protein L5
P46778	60S ribosomal protein L21
P46779	60S ribosomal protein L28
P46781	40S ribosomal protein S9
P46782	40S ribosomal protein S5
P46783	40S ribosomal protein S10
P46821	Microtubule-associated protein 1B
P46926	Glucosamine-6-phosphate isomerase 1
P46934	E3 ubiquitin-protein ligase NEDD4
P46937	Transcriptional coactivator YAP1
P46939	Utrophin
P46940	Ras GTPase-activating-like protein IQGAP1
P46952	3-hydroxyanthranilate 3,4-dioxygenase
P46976	Glycogenin-1
P46977	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
P47211	Galanin receptor type 1
P47224	Guanine nucleotide exchange factor MSS4
P47710	Alpha-S1-casein
P47712	Cytosolic phospholipase A2
P47736	Rap1 GTPase-activating protein 1
P47755	F-actin-capping protein subunit alpha-2
P47756	F-actin-capping protein subunit beta
P47775	G-protein coupled receptor 12
P47804	RPE-retinal G protein-coupled receptor
P47813	Eukaryotic translation initiation factor 1A, X-chromosomal
P47869	Gamma-aminobutyric acid receptor subunit alpha-2
P47870	Gamma-aminobutyric acid receptor subunit beta-2
P47871	Glucagon receptor
P47872	Secretin receptor
P47874	Olfactory marker protein
P47881	Olfactory receptor 3A1
P47883	Putative olfactory receptor 3A4
P47884	Olfactory receptor 1D4
P47887	Olfactory receptor 1E2
P47888	Olfactory receptor 3A3
P47890	Olfactory receptor 1G1
P47893	Olfactory receptor 3A2
P47895	Aldehyde dehydrogenase family 1 member A3
P47897	Glutamine--tRNA ligase
P47898	5-hydroxytryptamine receptor 5A
P47900	P2Y purinoceptor 1
P47901	Vasopressin V1b receptor
P47902	Homeobox protein CDX-1
P47914	60S ribosomal protein L29
P47928	DNA-binding protein inhibitor ID-4
P47929	Galectin-7
P47944	Metallothionein-4
P47972	Neuronal pentraxin-2
P47974	mRNA decay activator protein ZFP36L2
P47985	Cytochrome b-c1 complex subunit Rieske, mitochondrial
P47989	Xanthine dehydrogenase/oxidase
P47992	Lymphotactin
P48023	Tumor necrosis factor ligand superfamily member 6
P48029	Sodium- and chloride-dependent creatine transporter 1
P48039	Melatonin receptor type 1A
P48047	ATP synthase subunit O, mitochondrial
P48048	ATP-sensitive inward rectifier potassium channel 1
P48050	Inward rectifier potassium channel 4
P48051	G protein-activated inward rectifier potassium channel 2
P48052	Carboxypeptidase A2
P48058	Glutamate receptor 4
P48059	LIM and senescent cell antigen-like-containing domain protein 1
P48060	Glioma pathogenesis-related protein 1
P48061	Stromal cell-derived factor 1
P48065	Sodium- and chloride-dependent betaine transporter
P48066	Sodium- and chloride-dependent GABA transporter 3
P48067	Sodium- and chloride-dependent glycine transporter 1
P48145	Neuropeptides B/W receptor type 1
P48146	Neuropeptides B/W receptor type 2
P48147	Prolyl endopeptidase
P48163	NADP-dependent malic enzyme
P48165	Gap junction alpha-8 protein
P48167	Glycine receptor subunit beta
P48169	Gamma-aminobutyric acid receptor subunit alpha-4
P48200	Iron-responsive element-binding protein 2
P48201	ATP synthase F(0) complex subunit C3, mitochondrial
P48230	Transmembrane 4 L6 family member 4
P48304	Lithostathine-1-beta
P48307	Tissue factor pathway inhibitor 2
P48357	Leptin receptor
P48378	DNA-binding protein RFX2
P48380	Transcription factor RFX3
P48382	DNA-binding protein RFX5
P48426	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
P48431	Transcription factor SOX-2
P48436	Transcription factor SOX-9
P48443	Retinoic acid receptor RXR-gamma
P48444	Coatomer subunit delta
P48448	Aldehyde dehydrogenase family 3 member B2
P48449	Lanosterol synthase
P48454	Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform
P48506	Glutamate--cysteine ligase catalytic subunit
P48507	Glutamate--cysteine ligase regulatory subunit
P48509	CD151 antigen
P48539	Calmodulin regulator protein PCP4
P48544	G protein-activated inward rectifier potassium channel 4
P48546	Gastric inhibitory polypeptide receptor
P48547	Potassium voltage-gated channel subfamily C member 1
P48549	G protein-activated inward rectifier potassium channel 1
P48551	Interferon alpha/beta receptor 2
P48552	Nuclear receptor-interacting protein 1
P48553	Trafficking protein particle complex subunit 10
P48556	26S proteasome non-ATPase regulatory subunit 8
P48594	Serpin B4
P48595	Serpin B10
P48634	Protein PRRC2A
P48637	Glutathione synthetase
P48643	T-complex protein 1 subunit epsilon
P48645	Neuromedin-U
P48651	Phosphatidylserine synthase 1
P48664	Excitatory amino acid transporter 4
P48668	Keratin, type II cytoskeletal 6C
P48681	Nestin
P48723	Heat shock 70 kDa protein 13
P48728	Aminomethyltransferase, mitochondrial
P48729	Casein kinase I isoform alpha
P48730	Casein kinase I isoform delta
P48735	Isocitrate dehydrogenase [NADP], mitochondrial
P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
P48739	Phosphatidylinositol transfer protein beta isoform
P48740	Mannan-binding lectin serine protease 1
P48741	Putative heat shock 70 kDa protein 7
P48742	LIM/homeobox protein Lhx1
P48745	Protein NOV homolog
P48751	Anion exchange protein 3
P48764	Sodium/hydrogen exchanger 3
P48775	Tryptophan 2,3-dioxygenase
P48788	Troponin I, fast skeletal muscle
P48960	CD97 antigen
P48995	Short transient receptor potential channel 1
P49005	DNA polymerase delta subunit 2
P49006	MARCKS-related protein
P49019	Hydroxycarboxylic acid receptor 3
P49023	Paxillin
P49069	Calcium signal-modulating cyclophilin ligand
P49116	Nuclear receptor subfamily 2 group C member 2
P49137	MAP kinase-activated protein kinase 2
P49146	Neuropeptide Y receptor type 2
P49184	Deoxyribonuclease-1-like 1
P49189	4-trimethylaminobutyraldehyde dehydrogenase
P49190	Parathyroid hormone 2 receptor
P49207	60S ribosomal protein L34
P49221	Protein-glutamine gamma-glutamyltransferase 4
P49223	Kunitz-type protease inhibitor 3
P49238	CX3C chemokine receptor 1
P49247	Ribose-5-phosphate isomerase
P49257	Protein ERGIC-53
P49279	Natural resistance-associated macrophage protein 1
P49281	Natural resistance-associated macrophage protein 2
P49286	Melatonin receptor type 1B
P49321	Nuclear autoantigenic sperm protein
P49326	Dimethylaniline monooxygenase [N-oxide-forming] 5
P49327	Fatty acid synthase
P49335	POU domain, class 3, transcription factor 4
P49336	Cyclin-dependent kinase 8
P49354	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
P49356	Protein farnesyltransferase subunit beta
P49366	Deoxyhypusine synthase
P49368	T-complex protein 1 subunit gamma
P49406	39S ribosomal protein L19, mitochondrial
P49407	Beta-arrestin-1
P49411	Elongation factor Tu, mitochondrial
P49418	Amphiphysin
P49419	Alpha-aminoadipic semialdehyde dehydrogenase
P49427	Ubiquitin-conjugating enzyme E2 R1
P49441	Inositol polyphosphate 1-phosphatase
P49447	Cytochrome b561
P49448	Glutamate dehydrogenase 2, mitochondrial
P49450	Histone H3-like centromeric protein A
P49454	Centromere protein F
P49458	Signal recognition particle 9 kDa protein
P49459	Ubiquitin-conjugating enzyme E2 A
P49585	Choline-phosphate cytidylyltransferase A
P49588	Alanine--tRNA ligase, cytoplasmic
P49589	Cysteine--tRNA ligase, cytoplasmic
P49590	Probable histidine--tRNA ligase, mitochondrial
P49591	Serine--tRNA ligase, cytoplasmic
P49593	Protein phosphatase 1F
P49619	Diacylglycerol kinase gamma
P49638	Alpha-tocopherol transfer protein
P49639	Homeobox protein Hox-A1
P49640	Homeobox even-skipped homolog protein 1
P49641	Alpha-mannosidase 2x
P49642	DNA primase small subunit
P49643	DNA primase large subunit
P49662	Caspase-4
P49674	Casein kinase I isoform epsilon
P49675	Steroidogenic acute regulatory protein, mitochondrial
P49682	C-X-C chemokine receptor type 3
P49683	Prolactin-releasing peptide receptor
P49685	G-protein coupled receptor 15
P49703	ADP-ribosylation factor-like protein 4D
P49711	Transcriptional repressor CTCF
P49715	CCAAT/enhancer-binding protein alpha
P49716	CCAAT/enhancer-binding protein delta
P49720	Proteasome subunit beta type-3
P49721	Proteasome subunit beta type-2
P49736	DNA replication licensing factor MCM2
P49746	Thrombospondin-3
P49747	Cartilage oligomeric matrix protein
P49748	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial
P49750	YLP motif-containing protein 1
P49753	Acyl-coenzyme A thioesterase 2, mitochondrial
P49754	Vacuolar protein sorting-associated protein 41 homolog
P49755	Transmembrane emp24 domain-containing protein 10
P49756	RNA-binding protein 25
P49757	Protein numb homolog
P49758	Regulator of G-protein signaling 6
P49759	Dual specificity protein kinase CLK1
P49760	Dual specificity protein kinase CLK2
P49761	Dual specificity protein kinase CLK3
P49763	Placenta growth factor
P49765	Vascular endothelial growth factor B
P49767	Vascular endothelial growth factor C
P49768	Presenilin-1
P49770	Translation initiation factor eIF-2B subunit beta
P49771	Fms-related tyrosine kinase 3 ligand
P49773	Histidine triad nucleotide-binding protein 1
P49788	Retinoic acid receptor responder protein 1
P49789	Bis(5'-adenosyl)-triphosphatase
P49790	Nuclear pore complex protein Nup153
P49792	E3 SUMO-protein ligase RanBP2
P49795	Regulator of G-protein signaling 19
P49796	Regulator of G-protein signaling 3
P49798	Regulator of G-protein signaling 4
P49802	Regulator of G-protein signaling 7
P49810	Presenilin-2
P49815	Tuberin
P49821	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
P49840	Glycogen synthase kinase-3 alpha
P49841	Glycogen synthase kinase-3 beta
P49842	Serine/threonine-protein kinase 19
P49848	Transcription initiation factor TFIID subunit 6
P49862	Kallikrein-7
P49863	Granzyme K
P49888	Estrogen sulfotransferase
P49895	Type I iodothyronine deiodinase
P49901	Sperm mitochondrial-associated cysteine-rich protein
P49902	Cytosolic purine 5'-nucleotidase
P49903	Selenide, water dikinase 1
P49908	Selenoprotein P
P49910	Zinc finger protein 165
P49913	Cathelicidin antimicrobial peptide
P49914	5-formyltetrahydrofolate cyclo-ligase
P49915	GMP synthase [glutamine-hydrolyzing]
P49916	DNA ligase 3
P49917	DNA ligase 4
P49918	Cyclin-dependent kinase inhibitor 1C
P49959	Double-strand break repair protein MRE11
P49961	Ectonucleoside triphosphate diphosphohydrolase 1
P50052	Type-2 angiotensin II receptor
P50053	Ketohexokinase
P50120	Retinol-binding protein 2
P50135	Histamine N-methyltransferase
P50148	Guanine nucleotide-binding protein G(q) subunit alpha
P50150	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4
P50151	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10
P50213	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial
P50219	Motor neuron and pancreas homeobox protein 1
P50221	Homeobox protein MOX-1
P50222	Homeobox protein MOX-2
P50225	Sulfotransferase 1A1
P50226	Sulfotransferase 1A2
P50238	Cysteine-rich protein 1
P50281	Matrix metalloproteinase-14
P50336	Protoporphyrinogen oxidase
P50391	Neuropeptide Y receptor type 4
P50395	Rab GDP dissociation inhibitor beta
P50402	Emerin
P50406	5-hydroxytryptamine receptor 6
P50416	Carnitine O-palmitoyltransferase 1, liver isoform
P50440	Glycine amidinotransferase, mitochondrial
P50443	Sulfate transporter
P50452	Serpin B8
P50453	Serpin B9
P50454	Serpin H1
P50458	LIM/homeobox protein Lhx2
P50461	Cysteine and glycine-rich protein 3
P50479	PDZ and LIM domain protein 4
P50502	Hsc70-interacting protein
P50539	Max-interacting protein 1
P50542	Peroxisomal targeting signal 1 receptor
P50548	ETS domain-containing transcription factor ERF
P50549	ETS translocation variant 1
P50552	Vasodilator-stimulated phosphoprotein
P50553	Achaete-scute homolog 1
P50570	Dynamin-2
P50579	Methionine aminopeptidase 2
P50583	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
P50591	Tumor necrosis factor ligand superfamily member 10
P50607	Tubby protein homolog
P50613	Cyclin-dependent kinase 7
P50616	Protein Tob1
P50747	Biotin--protein ligase
P50748	Kinetochore-associated protein 1
P50749	Ras association domain-containing protein 2
P50750	Cyclin-dependent kinase 9
P50851	Lipopolysaccharide-responsive and beige-like anchor protein
P50876	E3 ubiquitin-protein ligase RNF144A
P50895	Basal cell adhesion molecule
P50897	Palmitoyl-protein thioesterase 1
P50914	60S ribosomal protein L14
P50990	T-complex protein 1 subunit theta
P50991	T-complex protein 1 subunit delta
P50993	Sodium/potassium-transporting ATPase subunit alpha-2
P50995	Annexin A11
P51003	Poly(A) polymerase alpha
P51114	Fragile X mental retardation syndrome-related protein 1
P51116	Fragile X mental retardation syndrome-related protein 2
P51124	Granzyme M
P51148	Ras-related protein Rab-5C
P51149	Ras-related protein Rab-7a
P51151	Ras-related protein Rab-9A
P51153	Ras-related protein Rab-13
P51157	Ras-related protein Rab-28
P51159	Ras-related protein Rab-27A
P51160	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'
P51161	Gastrotropin
P51164	Potassium-transporting ATPase subunit beta
P51168	Amiloride-sensitive sodium channel subunit beta
P51170	Amiloride-sensitive sodium channel subunit gamma
P51172	Amiloride-sensitive sodium channel subunit delta
P51178	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1
P51397	Death-associated protein 1
P51398	28S ribosomal protein S29, mitochondrial
P51449	Nuclear receptor ROR-gamma
P51451	Tyrosine-protein kinase Blk
P51452	Dual specificity protein phosphatase 3
P51460	Insulin-like 3
P51504	Zinc finger protein 80
P51508	Zinc finger protein 81
P51511	Matrix metalloproteinase-15
P51512	Matrix metalloproteinase-16
P51513	RNA-binding protein Nova-1
P51522	Zinc finger protein 83
P51523	Zinc finger protein 84
P51530	DNA replication ATP-dependent helicase/nuclease DNA2
P51531	Probable global transcription activator SNF2L2
P51532	Transcription activator BRG1
P51553	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial
P51570	Galactokinase
P51571	Translocon-associated protein subunit delta
P51572	B-cell receptor-associated protein 31
P51575	P2X purinoceptor 1
P51580	Thiopurine S-methyltransferase
P51582	P2Y purinoceptor 4
P51587	Breast cancer type 2 susceptibility protein
P51589	Cytochrome P450 2J2
P51606	N-acylglucosamine 2-epimerase
P51608	Methyl-CpG-binding protein 2
P51610	Host cell factor 1
P51617	Interleukin-1 receptor-associated kinase 1
P51636	Caveolin-2
P51648	Fatty aldehyde dehydrogenase
P51649	Succinate-semialdehyde dehydrogenase, mitochondrial
P51654	Glypican-3
P51659	Peroxisomal multifunctional enzyme type 2
P51665	26S proteasome non-ATPase regulatory subunit 7
P51668	Ubiquitin-conjugating enzyme E2 D1
P51671	Eotaxin
P51674	Neuronal membrane glycoprotein M6-a
P51677	C-C chemokine receptor type 3
P51679	C-C chemokine receptor type 4
P51681	C-C chemokine receptor type 5
P51684	C-C chemokine receptor type 6
P51685	C-C chemokine receptor type 8
P51686	C-C chemokine receptor type 9
P51687	Sulfite oxidase, mitochondrial
P51688	N-sulphoglucosamine sulphohydrolase
P51689	Arylsulfatase D
P51690	Arylsulfatase E
P51692	Signal transducer and activator of transcription 5B
P51693	Amyloid-like protein 1
P51784	Ubiquitin carboxyl-terminal hydrolase 11
P51786	Zinc finger protein 157
P51787	Potassium voltage-gated channel subfamily KQT member 1
P51788	Chloride channel protein 2
P51790	H(+)/Cl(-) exchange transporter 3
P51793	H(+)/Cl(-) exchange transporter 4
P51795	H(+)/Cl(-) exchange transporter 5
P51797	Chloride transport protein 6
P51798	H(+)/Cl(-) exchange transporter 7
P51800	Chloride channel protein ClC-Ka
P51801	Chloride channel protein ClC-Kb
P51805	Plexin-A3
P51808	Dynein light chain Tctex-type 3
P51809	Vesicle-associated membrane protein 7
P51810	G-protein coupled receptor 143
P51811	Membrane transport protein XK
P51812	Ribosomal protein S6 kinase alpha-3
P51813	Cytoplasmic tyrosine-protein kinase BMX
P51814	Zinc finger protein 41
P51815	Zinc finger protein 75D
P51816	AF4/FMR2 family member 2
P51817	cAMP-dependent protein kinase catalytic subunit PRKX
P51825	AF4/FMR2 family member 1
P51826	AF4/FMR2 family member 3
P51828	Adenylate cyclase type 7
P51841	Retinal guanylyl cyclase 2
P51843	Nuclear receptor subfamily 0 group B member 1
P51854	Transketolase-like protein 1
P51857	3-oxo-5-beta-steroid 4-dehydrogenase
P51858	Hepatoma-derived growth factor
P51861	Cerebellar degeneration-related antigen 1
P51864	Putative teratocarcinoma-derived growth factor 3
P51878	Caspase-5
P51884	Lumican
P51888	Prolargin
P51911	Calponin-1
P51946	Cyclin-H
P51948	CDK-activating kinase assembly factor MAT1
P51955	Serine/threonine-protein kinase Nek2
P51956	Serine/threonine-protein kinase Nek3
P51957	Serine/threonine-protein kinase Nek4
P51959	Cyclin-G1
P51965	Ubiquitin-conjugating enzyme E2 E1
P51970	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
P51991	Heterogeneous nuclear ribonucleoprotein A3
P51993	Alpha-(1,3)-fucosyltransferase 6
P52179	Myomesin-1
P52198	Rho-related GTP-binding protein RhoN
P52209	6-phosphogluconate dehydrogenase, decarboxylating
P52272	Heterogeneous nuclear ribonucleoprotein M
P52292	Importin subunit alpha-1
P52294	Importin subunit alpha-5
P52298	Nuclear cap-binding protein subunit 2
P52306	Rap1 GTPase-GDP dissociation stimulator 1
P52333	Tyrosine-protein kinase JAK3
P52429	Diacylglycerol kinase epsilon
P52434	DNA-directed RNA polymerases I, II, and III subunit RPABC3
P52435	DNA-directed RNA polymerase II subunit RPB11-a
P52564	Dual specificity mitogen-activated protein kinase kinase 6
P52565	Rho GDP-dissociation inhibitor 1
P52566	Rho GDP-dissociation inhibitor 2
P52569	Cationic amino acid transporter 2
P52594	Arf-GAP domain and FG repeat-containing protein 1
P52597	Heterogeneous nuclear ribonucleoprotein F
P52630	Signal transducer and activator of transcription 2
P52655	Transcription initiation factor IIA subunit 1
P52657	Transcription initiation factor IIA subunit 2
P52701	DNA mismatch repair protein Msh6
P52732	Kinesin-like protein KIF11
P52735	Guanine nucleotide exchange factor VAV2
P52736	Zinc finger protein 133
P52737	Zinc finger protein 136
P52738	Zinc finger protein 140
P52739	Zinc finger protein 131
P52740	Zinc finger protein 132
P52741	Zinc finger protein 134
P52742	Zinc finger protein 135
P52743	Putative zinc finger protein 137
P52744	Zinc finger protein 138
P52746	Zinc finger protein 142
P52747	Zinc finger protein 143
P52756	RNA-binding protein 5
P52757	Beta-chimaerin
P52758	2-iminobutanoate/2-iminopropanoate deaminase
P52788	Spermine synthase
P52789	Hexokinase-2
P52790	Hexokinase-3
P52797	Ephrin-A3
P52798	Ephrin-A4
P52799	Ephrin-B2
P52803	Ephrin-A5
P52815	39S ribosomal protein L12, mitochondrial
P52823	Stanniocalcin-1
P52824	Diacylglycerol kinase theta
P52848	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
P52849	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2
P52888	Thimet oligopeptidase
P52895	Aldo-keto reductase family 1 member C2
P52907	F-actin-capping protein subunit alpha-1
P52926	High mobility group protein HMGI-C
P52943	Cysteine-rich protein 2
P52945	Pancreas/duodenum homeobox protein 1
P52948	Nuclear pore complex protein Nup98-Nup96
P52951	Homeobox protein GBX-2
P52952	Homeobox protein Nkx-2.5
P52954	Transcription factor LBX1
P52961	GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1
P53004	Biliverdin reductase A
P53007	Tricarboxylate transport protein, mitochondrial
P53041	Serine/threonine-protein phosphatase 5
P53350	Serine/threonine-protein kinase PLK1
P53355	Death-associated protein kinase 1
P53365	Arfaptin-2
P53367	Arfaptin-1
P53370	Nucleoside diphosphate-linked moiety X motif 6
P53384	Cytosolic Fe-S cluster assembly factor NUBP1
P53396	ATP-citrate synthase
P53420	Collagen alpha-4(IV) chain
P53539	Protein fosB
P53567	CCAAT/enhancer-binding protein gamma
P53582	Methionine aminopeptidase 1
P53597	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial
P53602	Diphosphomevalonate decarboxylase
P53609	Geranylgeranyl transferase type-1 subunit beta
P53611	Geranylgeranyl transferase type-2 subunit beta
P53618	Coatomer subunit beta
P53621	Coatomer subunit alpha
P53634	Dipeptidyl peptidase 1
P53667	LIM domain kinase 1
P53671	LIM domain kinase 2
P53672	Beta-crystallin A2
P53673	Beta-crystallin A4
P53674	Beta-crystallin B1
P53675	Clathrin heavy chain 2
P53677	AP-3 complex subunit mu-2
P53680	AP-2 complex subunit sigma
P53701	Cytochrome c-type heme lyase
P53708	Integrin alpha-8
P53778	Mitogen-activated protein kinase 12
P53779	Mitogen-activated protein kinase 10
P53794	Sodium/myo-inositol cotransporter
P53801	Pituitary tumor-transforming gene 1 protein-interacting protein
