Entry	Protein names	Gene names
Q7Z4M0	Meiotic recombination protein REC114	REC114 C15orf60
Q2KHR3	Glutamine and serine-rich protein 1	QSER1
Q96PU8	Protein quaking (Hqk) (HqkI)	QKI HKQ
Q7Z5L2	Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88) (Putative mitochondrial space protein 32.1) (R3H and coiled-coil domain-containing protein 1-like)	R3HCC1L C10orf28 GIDRP88
Q9Y620	DNA repair and recombination protein RAD54B (EC 3.6.4.-) (RAD54 homolog B)	RAD54B
Q96B01	RAD51-associated protein 1 (RAD51-interacting protein)	RAD51AP1 PIR51
Q09MP3	RAD51-associated protein 2	RAD51AP2
Q6MZT1	Regulator of G-protein signaling 7-binding protein (R7 family-binding protein)	RGS7BP R7BP
P59190	Ras-related protein Rab-15	RAB15
Q9ULC3	Ras-related protein Rab-23	RAB23 HSPC137
Q6ZS82	Regulator of G-protein signaling 9-binding protein (RGS9-anchoring protein)	RGS9BP R9AP
Q969Q5	Ras-related protein Rab-24	RAB24
Q96AX2	Ras-related protein Rab-37	RAB37
P61019	Ras-related protein Rab-2A	RAB2A RAB2
P51148	Ras-related protein Rab-5C (L1880) (RAB5L)	RAB5C RABL
Q8WUD1	Ras-related protein Rab-2B	RAB2B
Q5HYI8	Rab-like protein 3	RABL3
Q9NP90	Ras-related protein Rab-9B (Rab-9-like protein) (Rab-9L)	RAB9B RAB9L
Q96AH8	Ras-related protein Rab-7b	RAB7B
Q7Z6M1	Rab9 effector protein with kelch motifs (40 kDa Rab9 effector protein) (p40)	RABEPK RAB9P40
O60671	Cell cycle checkpoint protein RAD1 (hRAD1) (EC 3.1.11.2) (DNA repair exonuclease rad1 homolog) (Rad1-like DNA damage checkpoint protein)	RAD1 REC1
Q96JH8	Ras-associating and dilute domain-containing protein	RADIL KIAA1849
P35241	Radixin	RDX
P78406	mRNA export factor (Rae1 protein homolog) (mRNA-associated protein mrnp 41)	RAE1 MRNP41
Q6NSI4	RPA-related protein RADX (RPA-related and RAD51-antagonist, X-chromosome)	RADX CXorf57
P11234	Ras-related protein Ral-B	RALB
Q86SE5	RNA-binding Raly-like protein (hRALYL) (Heterogeneous nuclear ribonucleoprotein C-like 3) (hnRNP core protein C-like 3)	RALYL HNRPCL3
P43487	Ran-specific GTPase-activating protein (Ran-binding protein 1) (RanBP1)	RANBP1
Q92698	DNA repair and recombination protein RAD54-like (EC 3.6.4.-) (RAD54 homolog) (hHR54) (hRAD54)	RAD54L RAD54A
P61225	Ras-related protein Rap-2b	RAP2B
Q86YV0	RAS protein activator like-3	RASAL3
Q9NYN1	Ras-like protein family member 12 (Ras-like protein Ris)	RASL12 RIS
Q9Y5P3	Retinoic acid-induced protein 2	RAI2
Q02833	Ras association domain-containing protein 7 (HRAS1-related cluster protein 1)	RASSF7 C11orf13 HRC1
Q8NDT2	Putative RNA-binding protein 15B (One-twenty two protein 3) (HsOTT3) (HuOTT3) (RNA-binding motif protein 15B)	RBM15B OTT3
P20936	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	RASA1 GAP RASA
Q15283	Ras GTPase-activating protein 2 (GTPase-activating protein 1m) (GAP1m)	RASA2 GAP1M RASGAP
Q9NYW8	RB-associated KRAB zinc finger protein (RB-associated KRAB repressor) (hRBaK) (Zinc finger protein 769)	RBAK ZNF769
O94761	ATP-dependent DNA helicase Q4 (EC 3.6.4.12) (DNA helicase, RecQ-like type 4) (RecQ4) (RTS) (RecQ protein-like 4)	RECQL4 RECQ4
P05451	Lithostathine-1-alpha (Islet cells regeneration factor) (ICRF) (Islet of Langerhans regenerating protein) (REG) (Pancreatic stone protein) (PSP) (Pancreatic thread protein) (PTP) (Regenerating islet-derived protein 1-alpha) (REG-1-alpha) (Regenerating protein I alpha)	REG1A PSPS PSPS1 REG
P14927	Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein)	UQCRB UQBP
Q6ZMN7	PDZ domain-containing RING finger protein 4 (Ligand of Numb protein X 4) (SEMACAP3-like protein)	PDZRN4 LNX4 SEMCAP3L
P31930	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)	UQCRC1
Q6ZRP7	Sulfhydryl oxidase 2 (EC 1.8.3.2) (Neuroblastoma-derived sulfhydryl oxidase) (Quiescin Q6-like protein 1)	QSOX2 QSCN6L1 SOXN
Q6NVV1	Putative 60S ribosomal protein L13a protein RPL13AP3 (60S ribosomal protein L13a pseudogene 3)	RPL13AP3
A8MTL3	RING finger protein 212B	RNF212B C14orf164
Q96D70	R3H domain-containing protein 4	R3HDM4 C19orf22
Q86UN3	Reticulon-4 receptor-like 2 (Nogo receptor-like 3) (Nogo-66 receptor homolog 1) (Nogo-66 receptor-related protein 2) (NgR2)	RTN4RL2 NGRH1 NGRL3
P57735	Ras-related protein Rab-25 (CATX-8)	RAB25 CATX8
Q9ULW5	Ras-related protein Rab-26	RAB26
P20336	Ras-related protein Rab-3A	RAB3A
P51157	Ras-related protein Rab-28	RAB28
Q9BUV8	Uncharacterized protein RAB5IF (Rab5-interacting protein) (RIP5)	RAB5IF C20orf24 PNAS-11
P46060	Ran GTPase-activating protein 1 (RanGAP1)	RANGAP1 KIAA1835 SD
Q70E73	Ras-associated and pleckstrin homology domains-containing protein 1 (RAPH1) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 18 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 9 protein) (Lamellipodin) (Proline-rich EVH1 ligand 2) (PREL-2) (Protein RMO1)	RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1
Q8IUD2	ELKS/Rab6-interacting/CAST family member 1 (ERC-1) (Rab6-interacting protein 2)	ERC1 ELKS KIAA1081 RAB6IP2
B7ZAP0	Rab GTPase-activating protein 1-like, isoform 10	RABGAP1L HHL KIAA0471
Q5R372	Rab GTPase-activating protein 1-like	RABGAP1L HHL KIAA0471
Q08999	Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein) (p130) (Retinoblastoma-related protein 2) (RBR-2) (pRb2)	RBL2 RB2
P28749	Retinoblastoma-like protein 1 (107 kDa retinoblastoma-associated protein) (p107) (pRb1)	RBL1
P52756	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)	RBM5 H37 LUCA15
Q9NW64	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22) (Zinc finger CCCH domain-containing protein 16)	RBM22 ZC3H16 199G4
Q9BTD8	RNA-binding protein 42 (RNA-binding motif protein 42)	RBM42
Q9Y5S9	RNA-binding protein 8A (Binder of OVCA1-1) (BOV-1) (RNA-binding motif protein 8A) (RNA-binding protein Y14) (Ribonucleoprotein RBM8A)	RBM8A RBM8 HSPC114 MDS014
P29558	RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1) (Suppressor of CDC2 with RNA-binding motif 2)	RBMS1 C2orf12 MSSP MSSP1 SCR2
Q5RL73	RNA-binding protein 48	RBM48 C7orf64 HSPC304
Q6XE24	RNA-binding motif, single-stranded-interacting protein 3	RBMS3
Q6VN20	Ran-binding protein 10 (RanBP10)	RANBP10 KIAA1464
Q9H2T7	Ran-binding protein 17	RANBP17
P25800	Rhombotin-1 (Cysteine-rich protein TTG-1) (LIM domain only protein 1) (LMO-1) (T-cell translocation protein 1)	LMO1 RBTN1 RHOM1 TTG1
P25791	Rhombotin-2 (Cysteine-rich protein TTG-2) (LIM domain only protein 2) (LMO-2) (T-cell translocation protein 2)	LMO2 RBTN2 RBTNL1 RHOM2 TTG2
Q9UKA8	Calcipressin-3 (Down syndrome candidate region 1-like protein 2) (Myocyte-enriched calcineurin-interacting protein 3) (MCIP3) (Regulator of calcineurin 3)	RCAN3 DSCR1L2
P62877	E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (Protein ZYP) (RING finger protein 75) (RING-box protein 1) (Rbx1) (Regulator of cullins 1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed (E3 ubiquitin-protein transferase RBX1, N-terminally processed)]	RBX1 RNF75 ROC1
A6NDE4	RNA-binding motif protein, Y chromosome, family 1 member B	RBMY1B
P0DJD4	RNA-binding motif protein, Y chromosome, family 1 member C	RBMY1C
A6NEQ0	RNA-binding motif protein, Y chromosome, family 1 member E	RBMY1E
Q9UKL0	REST corepressor 1 (Protein CoREST)	RCOR1 KIAA0071 RCOR
Q8IZV5	Retinol dehydrogenase 10 (EC 1.1.1.300) (Short chain dehydrogenase/reductase family 16C member 4)	RDH10 SDR16C4 UNQ9375/PRO34191
Q9H4I0	Double-strand-break repair protein rad21-like protein 1	RAD21L1 RAD21L
Q8TC12	Retinol dehydrogenase 11 (EC 1.1.1.300) (Androgen-regulated short-chain dehydrogenase/reductase 1) (HCV core-binding protein HCBP12) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1) (RalR1) (Short chain dehydrogenase/reductase family 7C member 1)	RDH11 ARSDR1 PSDR1 SDR7C1 CGI-82
Q96NR8	Retinol dehydrogenase 12 (EC 1.1.1.-) (All-trans and 9-cis retinol dehydrogenase) (Short chain dehydrogenase/reductase family 7C member 2)	RDH12 SDR7C2
Q8N2H3	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2 (EC 1.-.-.-)	PYROXD2 C10orf33
Q8IZP6	RING finger protein 113B (Zinc finger protein 183-like 1)	RNF113B RNF161 ZNF183L1
P50876	E3 ubiquitin-protein ligase RNF144A (EC 2.3.2.31) (RING finger protein 144A) (UbcM4-interacting protein 4) (Ubiquitin-conjugating enzyme 7-interacting protein 4)	RNF144A KIAA0161 RNF144 UBCE7IP4
P0C881	Radial spoke head 10 homolog B	RSPH10B
Q7Z419	E3 ubiquitin-protein ligase RNF144B (EC 2.3.2.31) (IBR domain-containing protein 2) (RING finger protein 144B) (p53-inducible RING finger protein)	RNF144B IBRDC2 P53RFP
O15541	RING finger protein 113A (Zinc finger protein 183)	RNF113A RNF113 ZNF183
O75771	DNA repair protein RAD51 homolog 4 (R51H3) (RAD51 homolog D) (RAD51-like protein 3) (TRAD)	RAD51D RAD51L3
O95755	Ras-related protein Rab-36	RAB36
P20339	Ras-related protein Rab-5A	RAB5A RAB5
P61026	Ras-related protein Rab-10	RAB10
Q9H0U4	Ras-related protein Rab-1B	RAB1B
O95716	Ras-related protein Rab-3D	RAB3D GOV RAB16
P20340	Ras-related protein Rab-6A (Rab-6)	RAB6A RAB6
Q15276	Rab GTPase-binding effector protein 1 (Rabaptin-4) (Rabaptin-5) (Rabaptin-5alpha) (Renal carcinoma antigen NY-REN-17)	RABEP1 RAB5EP RABPT5 RABPT5A
Q9H5N1	Rab GTPase-binding effector protein 2 (Rabaptin-5beta)	RABEP2 RABPT5B
P63244	Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21
P60763	Ras-related C3 botulinum toxin substrate 3 (p21-Rac3)	RAC3
Q92878	DNA repair protein RAD50 (hRAD50) (EC 3.6.-.-)	RAD50
P15918	V(D)J recombination-activating protein 1 (RAG-1) (RING finger protein 74) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)]	RAG1 RNF74
P55895	V(D)J recombination-activating protein 2 (RAG-2)	RAG2
Q9UKM9	RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog)	RALY HNRPCL2 P542
Q15109	Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products)	AGER RAGE
Q9P0K7	Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14)	RAI14 KIAA1334 NORPEG
Q9BZE2	tRNA pseudouridine(38/39) synthase (EC 5.4.99.45) (tRNA pseudouridine synthase 3) (tRNA pseudouridylate synthase 3) (tRNA-uridine isomerase 3)	PUS3 FKSG32
A0A1B0GWK0	Parvalbumin-like EF-hand-containing protein	PVALEF
Q6UX71	Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)	PLXDC2 TEM7R UNQ2514/PRO6003
Q13610	Periodic tryptophan protein 1 homolog (Keratinocyte protein IEF SSP 9502)	PWP1
Q9Y6I8	Peroxisomal membrane protein 4 (24 kDa peroxisomal intrinsic membrane protein)	PXMP4 PMP24
Q8WXC3	Pyrin domain-containing protein 1 (PAAD-only protein 1) (Pyrin-only protein 1) (cellular POP1) (cPOP1)	PYDC1 ASC2 ASCI POP1 PYC1
P11217	Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)	PYGM
O75192	Peroxisomal membrane protein 11A (HsPEX11p) (28 kDa peroxisomal integral membrane protein) (PMP28) (Peroxin-11A) (Peroxisomal biogenesis factor 11A) (Protein PEX11 homolog alpha) (PEX11-alpha)	PEX11A PEX11
P17812	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	CTPS1 CTPS
Q9UL25	Ras-related protein Rab-21	RAB21 KIAA0118
Q9H0T7	Ras-related protein Rab-17	RAB17
Q32P51	Heterogeneous nuclear ribonucleoprotein A1-like 2 (hnRNP A1-like 2) (hnRNP core protein A1-like 2)	HNRNPA1L2 HNRNPA1L
Q9NP72	Ras-related protein Rab-18	RAB18
P20337	Ras-related protein Rab-3B	RAB3B
Q96E17	Ras-related protein Rab-3C	RAB3C
Q96QF0	Rab-3A-interacting protein (Rab3A-interacting protein) (Rabin-3) (SSX2-interacting protein)	RAB3IP RABIN8
Q8N4Z0	Ras-related protein Rab-42	RAB42
Q86YS6	Ras-related protein Rab-43 (Ras-related protein Rab-41)	RAB43 RAB41
Q13637	Ras-related protein Rab-32	RAB32
P20338	Ras-related protein Rab-4A	RAB4A RAB4
Q9UJ41	Rab5 GDP/GTP exchange factor (RAP1) (Rabaptin-5-associated exchange factor for Rab5) (Rabex-5)	RABGEF1 RABEX5
Q9NRF8	CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2)	CTPS2
Q9UPQ7	E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (Ligand of Numb protein X 3) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3)	PDZRN3 KIAA1095 LNX3 SEMCAP3
A0A096LP55	Cytochrome b-c1 complex subunit 6-like, mitochondrial	UQCRHL
Q9H974	Queuine tRNA-ribosyltransferase accessory subunit 2 (Queuine tRNA-ribosyltransferase domain-containing protein 1)	QTRT2 QTRTD1
Q5T6V5	Queuosine salvage protein	C9orf64
O95825	Quinone oxidoreductase-like protein 1 (EC 1.-.-.-) (Protein 4P11) (Quinone oxidoreductase homolog 1) (QOH-1) (Zeta-crystallin homolog)	CRYZL1 4P11
Q15032	R3H domain-containing protein 1	R3HDM1 KIAA0029 R3HDM
Q9Y2K5	R3H domain-containing protein 2	R3HDM2 KIAA1002
Q6NUR6	Putative protein RNF216-like	RNF216P1 RNF216L
P51153	Ras-related protein Rab-13 (Cell growth-inhibiting gene 4 protein)	RAB13 GIG4
Q9BZG1	Ras-related protein Rab-34 (Ras-related protein Rab-39) (Ras-related protein Rah)	RAB34 RAB39 RAH
P57729	Ras-related protein Rab-38 (Melanoma antigen NY-MEL-1)	RAB38
P62820	Ras-related protein Rab-1A (YPT1-related protein)	RAB1A RAB1
Q6IQ22	Ras-related protein Rab-12	RAB12
Q92928	Putative Ras-related protein Rab-1C (hRab1c)	RAB1C
Q92930	Ras-related protein Rab-8B	RAB8B
Q7Z6P3	Ras-related protein Rab-44	RAB44
P63000	Ras-related C3 botulinum toxin substrate 1 (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	RAC1 TC25 MIG5
O75943	Cell cycle checkpoint protein RAD17 (hRad17) (RF-C/activator 1 homolog)	RAD17 R24L
Q99638	Cell cycle checkpoint control protein RAD9A (hRAD9) (EC 3.1.11.2) (DNA repair exonuclease rad9 homolog A)	RAD9A
Q6WBX8	Cell cycle checkpoint control protein RAD9B (DNA repair exonuclease rad9 homolog B) (hRAD9B)	RAD9B
P04049	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	RAF1 RAF
Q9H6Z4	Ran-binding protein 3 (RanBP3)	RANBP3
Q96S59	Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7)	RANBP9 RANBPM
P62826	GTP-binding nuclear protein Ran (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN ARA24 OK/SW-cl.81
Q8NFJ5	Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1)	GPRC5A GPCR5A RAI3 RAIG1
A6NK89	Ras association domain-containing protein 10	RASSF10
Q96IS3	Retina and anterior neural fold homeobox protein 2 (Q50-type retinal homeobox protein) (Retina and anterior neural fold homeobox-like protein 1)	RAX2 QRX RAXL1
Q9P1G2	Putative uncharacterized protein encoded by RBM12B-AS1 (RBM12B antisense RNA 1) (RBM12B antisense gene protein 1)	RBM12B-AS1 C8orf39 PRO1905
Q09028	Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48) (Nucleosome-remodeling factor subunit RBAP48) (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48)	RBBP4 RBAP48
P49810	Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit]	PSEN2 AD4 PS2 PSNL2 STM2
Q8N4Q0	Prostaglandin reductase 3 (PRG-3) (EC 1.3.1.48) (Zinc-binding alcohol dehydrogenase domain-containing protein 2)	ZADH2 PTGR3
Q03431	Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor)	PTH1R PTHR PTHR1
P49190	Parathyroid hormone 2 receptor (PTH2 receptor)	PTH2R PTHR2
Q86Y79	Probable peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	PTRH1 C9orf115
P30566	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	ADSL AMPS
Q3MIT2	Putative tRNA pseudouridine synthase Pus10 (EC 5.4.99.25) (Coiled-coil domain-containing protein 139) (tRNA pseudouridine 55 synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	PUS10 CCDC139 DOBI
Q2TAL8	Glutamine-rich protein 1	QRICH1
B2RC85	Radial spoke head 10 homolog B2	RSPH10B2
Q59GN2	Putative 60S ribosomal protein L39-like 5 (60S ribosomal protein L39 pseudogene 5)	RPL39P5
Q8TBN0	Guanine nucleotide exchange factor for Rab-3A (Rab-3A-interacting-like protein 1) (Rab3A-interacting-like protein 1) (Rabin3-like 1)	RAB3IL1
Q9Y3T6	R3H and coiled-coil domain-containing protein 1	R3HCC1
O15315	DNA repair protein RAD51 homolog 2 (R51H2) (RAD51 homolog B) (Rad51B) (RAD51-like protein 1)	RAD51B RAD51L1 REC2
O43502	DNA repair protein RAD51 homolog 3 (R51H3) (RAD51 homolog C) (RAD51-like protein 2)	RAD51C RAD51L2
Q86UN2	Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3)	RTN4RL1 NGRH2 NGRL2
Q9NX57	Ras-related protein Rab-20	RAB20
P61106	Ras-related protein Rab-14	RAB14
Q96NR3	Patched domain-containing protein 1	PTCHD1
Q6ZW05	Patched domain-containing protein 4 (p53-regulated patched protein)	PTCHD4 C6orf138 PTCH53
P10586	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)	PTPRF LAR
P53801	Pituitary tumor-transforming gene 1 protein-interacting protein (Pituitary tumor-transforming gene protein-binding factor) (PBF) (PTTG-binding factor)	PTTG1IP C21orf1 C21orf3
Q14671	Pumilio homolog 1 (HsPUM) (Pumilio-1)	PUM1 KIAA0099 PUMH1
Q9UHX1	Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1)	PUF60 FIR ROBPI SIAHBP1
Q8TB72	Pumilio homolog 2 (Pumilio-2)	PUM2 KIAA0235 PUMH2
P15151	Poliovirus receptor (Nectin-like protein 5) (NECL-5) (CD antigen CD155)	PVR PVS
P11216	Glycogen phosphorylase, brain form (EC 2.4.1.1)	PYGB
P11498	Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)	PC
Q15269	Periodic tryptophan protein 2 homolog	PWP2 PWP2H
Q56P42	Pyrin domain-containing protein 2 (Pyrin-only protein 2) (cellular POP2) (cPOP2)	PYDC2 POP2
P0DMW2	NLR family pyrin domain-containing protein 2B (Pyrin domain-containing protein 2-like protein POP4) (Pyrin-only protein 4)	NLRP2B CLRX.1 NLRP2P NOD24 POP4
P27708	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	CAD
Q9BRP8	Partner of Y14 and mago (PYM homolog 1 exon junction complex-associated factor) (Protein wibg homolog)	PYM1 PYM WIBG
O14957	Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein)	UQCR11 UQCR
Q9UDW1	Cytochrome b-c1 complex subunit 9 (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7 kDa protein) (Ubiquinol-cytochrome c reductase complex 7.2 kDa protein)	UQCR10 UCRC HSPC119
Q53FA7	Quinone oxidoreductase PIG3 (EC 1.-.-.-) (Tumor protein p53-inducible protein 3) (p53-induced gene 3 protein)	TP53I3 PIG3
P07919	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)	UQCRH
Q9H0J4	Glutamine-rich protein 2	QRICH2
Q16769	Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (sQC) (Glutaminyl-tRNA cyclotransferase) (Glutamyl cyclase) (EC)	QPCT
O00391	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	QSOX1 QSCN6 UNQ2520/PRO6013
Q00887	Pregnancy-specific beta-1-glycoprotein 9 (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9) (PS34) (Pregnancy-specific beta-1 glycoprotein B) (PS-beta-B) (Pregnancy-specific beta-1-glycoprotein 11) (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific glycoprotein 7) (PSG7)	PSG9 PSG11
Q99460	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1
P55036	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	PSMD4 MCB1
Q16401	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	PSMD5 KIAA0072
Q15008	26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A)	PSMD6 KIAA0107 PFAAP4
O60542	Persephin (PSP)	PSPN
Q06323	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	PSME1 IFI5111
P11686	Pulmonary surfactant-associated protein C (SP-C) (Pulmonary surfactant-associated proteolipid SPL(Val)) (SP5)	SFTPC SFTP2
P20962	Parathymosin	PTMS
Q06124	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2
P35236	Tyrosine-protein phosphatase non-receptor type 7 (EC 3.1.3.48) (Hematopoietic protein-tyrosine phosphatase) (HEPTP) (Protein-tyrosine phosphatase LC-PTP)	PTPN7
A2A3K4	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)	PTPDC1 PTP9Q22
Q8WUK0	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 (EC 3.1.3.27) (PTEN-like phosphatase) (Phosphoinositide lipid phosphatase) (Protein-tyrosine phosphatase mitochondrial 1) (EC 3.1.3.16) (EC 3.1.3.48)	PTPMT1 MOSP PLIP PNAS-129
Q16825	Tyrosine-protein phosphatase non-receptor type 21 (EC 3.1.3.48) (Protein-tyrosine phosphatase D1)	PTPN21 PTPD1
Q9UMZ3	Phosphatidylinositol phosphatase PTPRQ (EC 3.1.3.-) (Receptor-type tyrosine-protein phosphatase Q) (PTP-RQ) (R-PTP-Q) (EC 3.1.3.48)	PTPRQ
Q15256	Receptor-type tyrosine-protein phosphatase R (R-PTP-R) (EC 3.1.3.48) (Ch-1PTPase) (NC-PTPCOM1) (Protein-tyrosine phosphatase PCPTP1)	PTPRR ECPTP PTPRQ
P48651	Phosphatidylserine synthase 1 (PSS-1) (PtdSer synthase 1) (EC 2.7.8.29) (Serine-exchange enzyme I)	PTDSS1 KIAA0024 PSSA
Q15262	Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)	PTPRK PTPK
